,Time(ns)Count,Time(ns)Sum,Time(ns)Max,Space(bytes)Count,Space(bytes)Sum,Space(bytes)Max,PotentialMethodCalls,PotentialInstructions,Instructions,MethodCalls,MethodFrequency,TimeReverseRank,SpaceReverseRank,ReverseRankTmp,ReverseRank
525d25c9-72e0,10,42308,20707,10,520,184,65916,960092,3,2,10,109,98,207,104
52a8eaaa-b5fa,13866,475555780,9227057,13866,764066472,276552,197904,2881750,20,11,6875,336,343,679,340
0580afc3-d293,24,66847,26885,24,2680,504,65926,960162,14,6,9946,128,163,291,149
bc67916c-9c35,96,671452,404182,96,42720,39760,65913,960071,3,1,96,208,249,457,228
ebc8f069-e5e9,36041,32126465,4712195,36041,448960,39664,65913,960070,2,1,37053,303,297,600,302
a91a6868-5692,86,5487379,1903935,86,295312,83248,65913,960076,7,5,86,269,288,557,279
ae8d11c5-c529,2647,3059090,24973,2647,4320,96,131826,1920138,5,2,42,254,184,438,220
60d4c4be-8265,35650,19820714,268271,35650,397576,40208,65913,960070,2,1,65248,292,293,585,296
0168ec72-7b69,13,26591,5776,13,312,104,65913,960070,2,1,0,82,70,152,76
501b101c-2258,12,82396,16658,12,456,192,65913,960070,2,1,198,135,93,228,115
35cddc7c-42ee,2,61489,54718,2,144,72,65919,960129,19,6,83,125,23,148,73
b5a3eafb-f05d,1,5762,5762,1,152,152,131829,1920161,6,2,11,14,29,43,12
0334ea0a-06e0,127,352578,21172,127,1088,128,65922,960123,4,4,1754,188,143,331,166
30fd7110-ef18,24764,8238471,42659,24764,142536,1752,65913,960070,2,1,44399,276,273,549,275
3759213a-1566,22333,4552872,25185,22333,1071088,1304,164785,2400198,13,4,19,266,316,582,294
2173630a-1313,1,6459,6459,1,144,144,131826,1920139,5,2,0,20,22,42,11
942764fa-69db,666,675667,17553,666,6888,136,65913,960076,7,1,774,209,199,408,204
a3f3adde-7329,112,58784,13270,112,3120,168,65913,960070,2,1,27,124,167,291,148
dd9f2017-de62,60093,23586612,470808,60093,544456,1280,131829,1920148,7,4,738,296,302,598,300
067d4e11-65ab,1,3749,3749,1,24,24,65913,960070,2,1,42,8,8,16,3
656292d9-ef9a,3,10973,4916,3,336,112,131826,1920139,5,1,0,36,72,108,53
b30f8bf7-777d,4,17650,5928,4,672,216,65913,960071,2,1,15,56,115,171,88
64b239aa-6191,1,9270,9270,1,160,160,65913,960071,2,1,4,27,30,57,22
99431fe3-6ed2,293,334512,53619,293,3520,304,65916,960090,3,2,252,186,168,354,173
aa881c15-75f6,157,49709,4681,157,4248,184,65913,960070,2,1,27,111,180,291,147
93fbdc0e-e0e0,44470,71058843,303135,44470,1461872,1784,131826,1920146,12,1,45417,322,322,644,328
a8f1b0fc-9c0e,62,84403,13849,62,912,168,65914,960080,4,2,63,136,134,270,139
d669388c-ed62,39577,41358356,5436887,39577,431520,40208,65913,960070,2,1,40714,309,295,604,304
d7ded0cf-f2d9,9763,342254285,7199757,9763,115143608,151536,98966,1441061,22,13,10017,334,336,670,335
db06456c-0ed9,437313,190347285,6473654,437313,13375816,39832,131829,1920162,6,2,673066,333,333,666,334
69652125-6eac,8,20362,5069,8,624,208,65913,960069,2,1,13,67,110,177,91
f436c549-4626,3,32478,20044,3,200,152,65921,960119,6,5,3,94,47,141,68
523ce7b9-7be2,46220,107783425,564789,46220,575312,39664,131828,1920144,6,3,47118,327,306,633,319
e2684fa3-ca3a,17,152533,41696,17,44848,3056,65956,960477,5,3,17,162,251,413,206
c5ee105a-3814,521,3423332,39154,521,35200,160,65913,960069,2,1,2316,258,242,500,254
9665e70b-0f7c,32,33287,5672,32,864,120,131826,1920139,5,1,5,95,132,227,114
678a4498-fa8a,4608,43148430,362238,4608,5793240,36384,164782,2400173,7,2,4995,312,328,640,324
1d234970-6138,72,113190,11975,72,2784,200,65913,960070,2,1,72,149,164,313,162
1dceaec3-2b02,1,1015,1015,1,144,144,65913,960069,2,1,292,1,24,25,6
87ac077e-b7d3,1214,1427855,31758,1214,8512,112,65913,960069,2,1,862,234,209,443,224
ae1cb794-384e,60095,43361603,1639193,60095,630840,39664,131829,1920148,7,4,738,313,310,623,314
a3436720-8474,46175,154414377,4746318,46175,527720,1752,131828,1920144,6,3,47118,332,300,632,318
73af462e-d4f0,8,19084,5384,8,192,24,65913,960070,2,1,86962,64,39,103,49
c52dec46-f2e3,81,3540246,285031,81,189880,2640,131829,1920171,17,6,81,259,278,537,268
03b55145-15d8,2,18565,12266,2,152,128,65913,960070,2,1,140,60,28,88,38
c06601e8-675c,298,259758,13082,298,3928,128,65913,960070,2,1,411,174,174,348,172
27e9ca64-d563,153,4547760,135793,153,560096,4072,164802,2400313,29,11,27,265,303,568,285
8fc09dcc-406c,197,7892768,222507,197,1154856,8664,131910,1920995,8,5,33,274,318,592,299
f439d90a-0fb6,2,16667,15695,2,152,128,65913,960070,2,1,13,54,27,81,35
31c965cd-087f,148,225770,15472,148,3552,24,65913,960070,2,1,7,169,169,338,168
f28de54a-7a80,39959,53798758,687643,39959,392832,1280,131829,1920151,6,2,1159,317,292,609,305
96334e01-0e6e,1,10197,10197,1,168,168,65913,960071,3,1,4,32,32,64,25
b7a9d951-b1a1,22281,2477381,44346,22281,39656,160,98875,1440167,5,3,19,247,246,493,250
da1061c2-09e5,26,1193481,97017,26,38296,1680,197799,2880681,14,8,27,229,243,472,238
073aa94d-b538,25708,115642708,1939501,25708,12694528,172896,164785,2400194,8,3,26200,329,332,661,331
7024ab54-85ac,7,14695,7815,7,264,120,65913,960072,3,1,7,46,58,104,50
95f7b18a-4265,6,23520,5605,6,336,120,65913,960070,2,1,0,78,74,152,75
58cad3d6-c01c,169,465937,15669,169,73008,6800,131826,1920140,6,3,177,198,262,460,234
7f73e7b6-f1f6,3,9326,7249,3,168,120,65913,960073,4,1,3,28,33,61,24
b2e866e9-e87b,9,42259,28024,9,432,48,65916,960093,4,2,10000,108,90,198,99
8ff8232b-2989,9932,27192935,109510,9932,247576,1280,65913,960070,2,1,10057,297,286,583,295
20f9a529-1dca,124,261792,86035,124,1152,144,65914,960079,3,2,65,175,144,319,164
f1b1e42f-92ca,100,605107,45314,100,50320,608,131829,1920161,7,3,5572,204,254,458,231
d47f652e-4444,19,119105,22116,19,2808,360,65925,960129,13,6,14,152,165,317,163
4cc79e39-3a02,3,7391,5908,3,120,120,65913,960070,2,1,31235,21,15,36,9
8e3de23d-d621,21,52955,4815,21,728,136,65914,960078,4,2,25,117,117,234,120
d8c51df9-3658,34306,2810009270,11069360,34306,190916784,45912,98870,1440112,10,3,35106,342,341,683,342
dfe8c4ed-cd71,4,4289,1866,4,136,136,65913,960069,2,1,13,11,21,32,7
7d9d4b37-28b4,2,5374,3295,2,184,152,131832,1920183,11,4,26,13,36,49,18
b1cc0c25-8c7d,231,667875,72967,231,4128,96,65913,960069,2,1,59171,207,179,386,191
